OTU	primary_lifestyle	Genus	Species
Setophoma_terrestris_3	plant_pathogen	Setophoma	Setophoma_terrestris_3
Bisifusarium_biseptatum_35	litter_saprotroph	Bisifusarium	Bisifusarium_biseptatum_35
Cortinarius_epiphaeus_2	ectomycorrhizal	Cortinarius	Cortinarius_epiphaeus_2
Tuber_pseudobrumale_11	ectomycorrhizal	Tuber	Tuber_pseudobrumale_11
Rhodotorula_mucilaginosa_2	unspecified_saprotroph	Rhodotorula	Rhodotorula_mucilaginosa_2
Glomus_chinense_5	arbuscular_mycorrhizal	Glomus	Glomus_chinense_5
Orbiliaceae_sp_8	unknown_primary_lyfestyle	Orbiliaceae_gen_Incertae_sedis	Orbiliaceae_sp_8
Massaria_inquinans_1	wood_saprotroph	Massaria	Massaria_inquinans_1
Akanthomyces_sp_1	animal_parasite	Akanthomyces	Akanthomyces_sp_1
Glomeraceae_sp_59	unknown_primary_lyfestyle	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_59
Fungi_sp_283	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_283
Fusarium_equiseti_43	plant_pathogen	Fusarium	Fusarium_equiseti_43
Conocybe_velutipes_3	soil_saprotroph	Conocybe	Conocybe_velutipes_3
Glomus_sp_58	arbuscular_mycorrhizal	Glomus	Glomus_sp_58
Pyrenochaetopsis_confluens_1	foliar_endophyte	Pyrenochaetopsis	Pyrenochaetopsis_confluens_1
Pseudocoleophoma_sp_5	unknown_primary_lyfestyle	Pseudocoleophoma	Pseudocoleophoma_sp_5
Myrothecium_inundatum_7	litter_saprotroph	Myrothecium	Myrothecium_inundatum_7
Fenestella_parafenestrata_58	unknown_primary_lyfestyle	Fenestella	Fenestella_parafenestrata_58
Pseudeurotiaceae_sp_2	unknown_primary_lyfestyle	Pseudeurotiaceae_gen_Incertae_sedis	Pseudeurotiaceae_sp_2
Helminthosporium_genistae_10	plant_pathogen	Helminthosporium	Helminthosporium_genistae_10
Fusarium_buharicum_25	plant_pathogen	Fusarium	Fusarium_buharicum_25
Basidiobolomycota_sp_1	unknown_primary_lyfestyle	Basidiobolomycota_gen_Incertae_sedis	Basidiobolomycota_sp_1
Volutella_consors_3	plant_pathogen	Volutella	Volutella_consors_3
Tuber_beyerlei_4	ectomycorrhizal	Tuber	Tuber_beyerlei_4
Parasarocladium_aestuarinum_1	unknown_primary_lyfestyle	Parasarocladium	Parasarocladium_aestuarinum_1
Ascomycota_sp_74	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_74
Fungi_sp_284	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_284
Fusarium_equiseti_44	plant_pathogen	Fusarium	Fusarium_equiseti_44
Kiskunsagia_ubrizsyi_24	unknown_primary_lyfestyle	Kiskunsagia	Kiskunsagia_ubrizsyi_24
Terramyces_subangulosus_9	pollen_saprotroph	Terramyces	Terramyces_subangulosus_9
Fenestella_parafenestrata_59	unknown_primary_lyfestyle	Fenestella	Fenestella_parafenestrata_59
Phaeosphaeriaceae_sp_4	unknown_primary_lyfestyle	Phaeosphaeriaceae_gen_Incertae_sedis	Phaeosphaeriaceae_sp_4
Pleosporales_sp_30	unknown_primary_lyfestyle	Pleosporales_gen_Incertae_sedis	Pleosporales_sp_30
Coniosporium_sp_50	plant_pathogen	Coniosporium	Coniosporium_sp_50
Fusarium_equiseti_45	plant_pathogen	Fusarium	Fusarium_equiseti_45
Pyrenophora_catenaria_1	plant_pathogen	Pyrenophora	Pyrenophora_catenaria_1
Fungi_sp_285	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_285
Penicillium_paneum_2	unspecified_saprotroph	Penicillium	Penicillium_paneum_2
Pseudoarthrographis_sp_14	unknown_primary_lyfestyle	Pseudoarthrographis	Pseudoarthrographis_sp_14
Chaetomiaceae_sp_4	unknown_primary_lyfestyle	Chaetomiaceae_gen_Incertae_sedis	Chaetomiaceae_sp_4
Ceratobasidium_sp_9	plant_pathogen	Ceratobasidium	Ceratobasidium_sp_9
Talaromyces_neofusisporus_2	unspecified_saprotroph	Talaromyces	Talaromyces_neofusisporus_2
Pleosporaceae_sp_2	unknown_primary_lyfestyle	Pleosporaceae_gen_Incertae_sedis	Pleosporaceae_sp_2
Tuber_brennemanii_4	ectomycorrhizal	Tuber	Tuber_brennemanii_4
Tomentellopsis_sp_2	ectomycorrhizal	Tomentellopsis	Tomentellopsis_sp_2
Trechisporales_sp_4	unknown_primary_lyfestyle	Trechisporales_gen_Incertae_sedis	Trechisporales_sp_4
Blastocladiales_sp_8	unknown_primary_lyfestyle	Blastocladiales_gen_Incertae_sedis	Blastocladiales_sp_8
Apiosordaria_sp_1	dung_saprotroph	Apiosordaria	Apiosordaria_sp_1
Myrothecium_inundatum_8	litter_saprotroph	Myrothecium	Myrothecium_inundatum_8
Stachybotrys_chartarum_1	wood_saprotroph	Stachybotrys	Stachybotrys_chartarum_1
Sampaiozyma_sp_1	soil_saprotroph	Sampaiozyma	Sampaiozyma_sp_1
Rhizophydiales_sp_17	unknown_primary_lyfestyle	Rhizophydiales_gen_Incertae_sedis	Rhizophydiales_sp_17
Zasmidium_velutinum_2	unknown_primary_lyfestyle	Zasmidium	Zasmidium_velutinum_2
Knufia_epidermidis_2	soil_saprotroph	Knufia	Knufia_epidermidis_2
Peziza_sp_74	soil_saprotroph	Peziza	Peziza_sp_74
Mortierellaceae_sp_15	unknown_primary_lyfestyle	Mortierellaceae_gen_Incertae_sedis	Mortierellaceae_sp_15
Peziza_sp_75	soil_saprotroph	Peziza	Peziza_sp_75
Blastocladiales_sp_9	unknown_primary_lyfestyle	Blastocladiales_gen_Incertae_sedis	Blastocladiales_sp_9
Seimatosporium_botan_1	plant_pathogen	Seimatosporium	Seimatosporium_botan_1
Epicoccum_thailandicum_7	unknown_primary_lyfestyle	Epicoccum	Epicoccum_thailandicum_7
Mortierella_rishikesha_3	soil_saprotroph	Mortierella	Mortierella_rishikesha_3
Hodophilus_praecox_1	soil_saprotroph	Hodophilus	Hodophilus_praecox_1
Spizellomycetales_sp_7	unknown_primary_lyfestyle	Spizellomycetales_gen_Incertae_sedis	Spizellomycetales_sp_7
Ascomycota_sp_75	unknown_primary_lyfestyle	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_75
Pezizomycotina_sp_19	unknown_primary_lyfestyle	Pezizomycotina_gen_Incertae_sedis	Pezizomycotina_sp_19
Chytridiomycota_sp_10	unknown_primary_lyfestyle	Chytridiomycota_gen_Incertae_sedis	Chytridiomycota_sp_10
Aphelidiomycota_sp_17	unknown_primary_lyfestyle	Aphelidiomycota_gen_Incertae_sedis	Aphelidiomycota_sp_17
Saccharomyces_cerevisiae_2	nectar/tap_saprotroph	Saccharomyces	Saccharomyces_cerevisiae_2
Blastocladiales_sp_10	unknown_primary_lyfestyle	Blastocladiales_gen_Incertae_sedis	Blastocladiales_sp_10
Catenophlyctis_sp_2	soil_saprotroph	Catenophlyctis	Catenophlyctis_sp_2
Penicillium_pimiteouiense_2	unspecified_saprotroph	Penicillium	Penicillium_pimiteouiense_2
Sarocladium_bacillisporum_1	plant_pathogen	Sarocladium	Sarocladium_bacillisporum_1
Fungi_sp_286	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_286
Fenestella_parafenestrata_60	unknown_primary_lyfestyle	Fenestella	Fenestella_parafenestrata_60
Orbilia_sp_1	wood_saprotroph	Orbilia	Orbilia_sp_1
Lasallia_rossica_1	lichenized	Lasallia	Lasallia_rossica_1
