OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
Xylariaceae_sp_1	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_38
Zoopagomycota_sp_1	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Acrostalagmus	Acrostalagmus_luteoalbus_1
GS11_sp_30	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Pseudorobillardaceae	Pseudorobillarda	Pseudorobillarda_phragmitis_1
Kickxellomycota_sp_3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Nigrogranaceae	Nigrograna	Nigrograna_jinghongensis_2
GS11_sp_31	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Rhexothecium	Rhexothecium_globosum_1
Rozellomycota_sp_40	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellales_fam_Incertae_sedis	Mortierellales_gen_Incertae_sedis	Mortierellales_sp_4
Fungi_sp_107	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	Glomeraceae_sp_2
Kiskunsagia_ubrizsyi_13	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces_sp_5
GS11_sp_32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Lasionectriopsis	Lasionectriopsis_spinosa_1
Rozellomycota_sp_41	Fungi	Ascomycota	Sordariomycetes	Sordariales	Naviculisporaceae	Pseudorhypophila	Pseudorhypophila_mangenotii_1
Glomeraceae_sp_22	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_piperis_1
Fungi_sp_108	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_sp_3
Onygenales_sp_5	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Kernia	Kernia_columnaris_1
Kiskunsagia_ubrizsyi_14	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	Ascomycota_sp_10
Fungi_sp_109	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Acrocalymmaceae	Acrocalymma	Acrocalymma_ampeli_3
Fungi_sp_110	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulinaceae_gen_Incertae_sedis	Clavulinaceae_sp_2
